Timestamp,Level,RemainingPassengers,PassengerPosition,Action,Reasoning,BusColor,WaitingAreaStatus
2025-06-01 22:34:33,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:34:37,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:34:40,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:34:44,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:34:48,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:34:53,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:34:57,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:35:00,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:35:03,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:35:06,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:35:09,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:35:12,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:35:16,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:35:19,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:35:23,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:35:28,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
2025-06-01 22:35:31,4,11,(2;1),waiting,"Priority: 100.00",1,0/5
